Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Parsed Price,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
LAMBORGHINI,URUS PERFORMANTE,V8,"3,996 cc",641 hp,305 km/h,3.3 sec,"$242,000 ",Petrol,5,850 Nm,242.0,LAMBORGHINI URUS GRAPHITE CAPSULE,LAMBORGHINI URUS S,LAMBORGHINI URUS ,MERCEDES BENZ GLE 63 S,BMW M8 GRAN COUPE
LAMBORGHINI,AVENTADOR ULTIMAE,V12,"6,498 cc",769 hp,355 km/h,2.8 sec,"$545,000 ",Petrol,2,720 Nm,545.0,LAMBORGHINI AVENTADOR SVJ,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE ROADSTER,LAMBORGHINI AVENTADOR SVJ XAGO,LAMBORGHINI AVENTADOR SV
LAMBORGHINI,HURACAN EVO RWD,V10,"5,204 cc",610 hp,325 km/h,3.3 sec,"$258,000 ",Petrol,2,560 Nm,258.0,LAMBORGHINI HURACAN EVO RWD SPYDER,LAMBORGHINI HURACAN PERFORMANTE,LAMBORGHINI HURACAN EVO,AUDI AUDI R8 Gt,AUDI R8 V10 PLUS
LAMBORGHINI,AVENTADOR SVJ ROADSTER,V12,"6,498 cc",759 hp,350 km/h,2.9 sec,"$573,000 ",Petrol,2,720 Nm,573.0,LAMBORGHINI AVENTADOR SVJ XAGO,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE,LAMBORGHINI AVENTADOR S,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE ROADSTER,LAMBORGHINI AVENTADOR ULTIMAE
LAMBORGHINI,URUS S,V8,"3,996 cc",671 hp,305 km/h,3.3 sec,"$263,000 ",Petrol,5,850 Nm,263.0,LAMBORGHINI URUS PERFORMANTE,LAMBORGHINI URUS GRAPHITE CAPSULE,LAMBORGHINI URUS ,MERCEDES BENZ GLE 63 S,BMW M8 GRAN COUPE
LAMBORGHINI,HURACAN STO,V10,"5,204 cc",640 hp,325 km/h,3.0 sec,"$327,000 ",Petrol,2,565 Nm,327.0,LAMBORGHINI HURACAN STO EVO,LAMBORGHINI HURACAN EVO RWD,LAMBORGHINI HURACAN PERFORMANTE,LAMBORGHINI HURACAN EVO,LAMBORGHINI HURACAN SPYDER
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,V12,"6,498 cc",769 hp,355 km/h,2.8 sec,"$545,000 ",Petrol,2,720 Nm,545.0,LAMBORGHINI AVENTADOR SVJ,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE ROADSTER,LAMBORGHINI AVENTADOR ULTIMAE,LAMBORGHINI AVENTADOR SVJ XAGO,LAMBORGHINI AVENTADOR SV
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,"5,204 cc",610 hp,325 km/h,3.3 sec,"$273,000 ",Petrol,2,600 Nm,273.0,LAMBORGHINI HURACAN  PERFORMANTE SPYDER,LAMBORGHINI HURACAN SPYDER,LAMBORGHINI HURACAN EVO RWD,LAMBORGHINI HURACAN PERFORMANTE,LAMBORGHINI HURACAN EVO SPYDER
LAMBORGHINI,AVENTADOR SVJ XAGO,V12,"6,498 cc",759 hp,350 km/h,2.9 sec,"$603,000 ",Petrol,2,720 Nm,603.0,LAMBORGHINI AVENTADOR SVJ ROADSTER,LAMBORGHINI AVENTADOR S,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE ROADSTER,LAMBORGHINI AVENTADOR ULTIMAE
LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,"3,998 cc",641 hp,305 km/h,3.3 sec,"$253,000 ",Petrol,5,850 Nm,253.0,LAMBORGHINI URUS PERFORMANTE,LAMBORGHINI URUS S,LAMBORGHINI URUS ,MERCEDES BENZ GLE 63 S,MERCEDES BENZ E-CLASS E 63 S
LAMBORGHINI,HURACAN STO EVO,V10,"5,204 cc",640 hp,325 km/h,3.0 sec,"$342,000 ",Petrol,2,565 Nm,342.0,LAMBORGHINI HURACAN STO,LAMBORGHINI HURACAN EVO RWD,LAMBORGHINI HURACAN PERFORMANTE,LAMBORGHINI HURACAN EVO,LAMBORGHINI HURACAN SPYDER
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,"6,498 cc",769 hp,355 km/h,2.8 sec,"$573,000 ",Petrol,2,720 Nm,573.0,LAMBORGHINI AVENTADOR SVJ,LAMBORGHINI AVENTADOR ULTIMAE,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE,LAMBORGHINI AVENTADOR SVJ XAGO,LAMBORGHINI AVENTADOR SV
ROLLS ROYCE ,GHOST,V12,"6,592 cc",591 hp,250 km/h,4.8 sec,"$332,000 ",Petrol,5,850 Nm,332.0,ROLLS ROYCE GHOST EXTENDED,ROLLS ROYCE CULLINAN,ROLLS ROYCE CULLINAN BLACK BADGE SUV,ROLLS ROYCE CULLINAN SUV,ROLLS ROYCE CULLINAN FUX ORANGE
ROLLS ROYCE,WRAITH,V12,"6,592 cc",624 hp,250 km/h,4.4 sec,"$330,000 ",Petrol,4,870 Nm,330.0,ROLLS ROYCE WRAITH COUPE,ROLLS ROYCE WRAITH BLACK BADGE,ROLLS ROYCE DAWN CONVERTIBLE,ROLLS ROYCE PHANTOM COUPE,ROLLS ROYCE DAWN
ROLLS ROYCE,DAWN,V12,"6,592 cc",624 hp,250 km/h,4.9 sec,"$360,000 ",Petrol,4,870 Nm,360.0,ROLLS ROYCE DAWN CONVERTIBLE,ROLLS ROYCE WRAITH,ROLLS ROYCE PHANTOM COUPE,ROLLS ROYCE DAWN BLACK BADGE,ROLLS ROYCE WRAITH BLACK BADGE
ROLLS ROYCE,CULLINAN,V12,"6,749 cc",563 hp,250 km/h,5.2 sec,"$325,000 ",Petrol,5,850 Nm,325.0,ROLLS ROYCE CULLINAN SUV,ROLLS ROYCE CULLINAN FUX ORANGE,ROLLS ROYCE CULLINAN BLACK BADGE SUV,ROLLS ROYCE CULLINAN RED DIAMOND,ROLLS ROYCE CULLINAN BLACK BADGE
ROLLS ROYCE,PHANTOM EXTENDED,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,"$500,000 ",Petrol,5,900 Nm,500.0,ROLLS ROYCE PHANTOM,ROLLS ROYCE PHANTOM CELESTIAL,ROLLS ROYCE PHATOM TRANQUILITY,ROLLS ROYCE PHATOM ORCHID,ROLLS ROYCE GHOST AZURE
ROLLS ROYCE,GHOST EXTENDED,V12,"6,592 cc",591 hp,250 km/h,4.8 sec,"$370,000 ",Petrol,5,850 Nm,370.0,ROLLS ROYCE  GHOST,ROLLS ROYCE CULLINAN RED DIAMOND,ROLLS ROYCE CULLINAN BLACK BADGE SUV,ROLLS ROYCE CULLINAN,ROLLS ROYCE CULLINAN BLACK BADGE
ROLLS ROYCE,WRAITH BLACK BADGE,V12,"6,592 cc",624 hp,250 km/h,4.3 sec,"$360,000 ",Petrol,4,870 Nm,360.0,ROLLS ROYCE PHANTOM COUPE,ROLLS ROYCE DAWN,ROLLS ROYCE DAWN CONVERTIBLE,ROLLS ROYCE WRAITH COUPE,ROLLS ROYCE WRAITH
ROLLS ROYCE,DAWN BLACK BADGE,V12,"6,592 cc",624 hp,250 km/h,4.8 sec,"$390,000 ",Petrol,4,870 Nm,390.0,ROLLS ROYCE WRAITH COUPE,ROLLS ROYCE DAWN,ROLLS ROYCE GHOST COUPE,ROLLS ROYCE PHANTOM COUPE,ROLLS ROYCE DAWN BLACK BADGE ADAMAS
ROLLS ROYCE,CULLINAN BLACK BADGE,V12,"6,749 cc",563 hp,250 km/h,5.1 sec,"$350,000 ",Petrol,5,850 Nm,350.0,ROLLS ROYCE CULLINAN RED DIAMOND,ROLLS ROYCE CULLINAN BLACK BADGE SUV,ROLLS ROYCE CULLINAN FUX ORANGE,ROLLS ROYCE GHOST EXTENDED,ROLLS ROYCE CULLINAN
ROLLS ROYCE,PHANTOM COUPE,V12,"6,749 cc",563 hp,250 km/h,5.3 sec,"$450,000 ",Petrol,4,870 Nm,450.0,ROLLS ROYCE WRAITH COUPE,ROLLS ROYCE DAWN CONVERTIBLE,ROLLS ROYCE DAWN BLACK BADGE,ROLLS ROYCE WRAITH,ROLLS ROYCE DAWN
ROLLS ROYCE,GHOST COUPE,V12,"6,592 cc",591 hp,250 km/h,4.8 sec,"$340,000 ",Petrol,4,850 Nm,340.0,ROLLS ROYCE DAWN BLACK BADGE VOLANTE,ROLLS ROYCE GHOST EXTENDED,ROLLS ROYCE DAWN BLACK BADGE,ROLLS ROYCE DAWN SILVER BULLET,ROLLS ROYCE DAWN BLACK BADGE ADAMAS
ROLLS ROYCE,WRAITH COUPE,V12,"6,592 cc",624 hp,250 km/h,4.4 sec,"$330,000 ",Petrol,4,870 Nm,330.0,ROLLS ROYCE WRAITH,ROLLS ROYCE DAWN CONVERTIBLE,ROLLS ROYCE PHANTOM COUPE,ROLLS ROYCE DAWN BLACK BADGE,ROLLS ROYCE DAWN
ROLLS ROYCE,DAWN CONVERTIBLE,V12,"6,592 cc",624 hp,250 km/h,4.9 sec,"$380,000 ",Petrol,4,870 Nm,380.0,ROLLS ROYCE DAWN,ROLLS ROYCE WRAITH,ROLLS ROYCE PHANTOM COUPE,ROLLS ROYCE DAWN BLACK BADGE,ROLLS ROYCE WRAITH BLACK BADGE
ROLLS ROYCE,CULLINAN SUV,V12,"6,749 cc",563 hp,250 km/h,5.2 sec,"$320,000 ",Petrol,5,850 Nm,320.0,ROLLS ROYCE CULLINAN,ROLLS ROYCE CULLINAN BLACK BADGE SUV,ROLLS ROYCE GHOST EXTENDED,ROLLS ROYCE CULLINAN RED DIAMOND,ROLLS ROYCE CULLINAN BLACK BADGE
MERCEDES,BENZ S-CLASS S 580,V8,"3,982 cc",496 hp,250 km/h,4.4 sec,"$116,000 ",Petrol,5,700 Nm,116.0,MERCEDES BENZ E-CLASS E 63 S,ASTON MARTIN DBX,MERCEDES BENZ S-CLASS S 500,MERCEDES BENZ GLE 63 S,MERCEDES BENZ GT 53
MERCEDES,BENZ E-CLASS E 63 S,V8,"3,982 cc",603 hp,250 km/h,3.4 sec,"$104,000 ",Petrol,5,850 Nm,104.0,MERCEDES BENZ GLE 63 S,LAMBORGHINI URUS ,LAMBORGHINI URUS PERFORMANTE,LAMBORGHINI URUS S,LAMBORGHINI URUS GRAPHITE CAPSULE
